City_ID,City,country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cabo San Lucas,MX,22.89,-109.91,77.0,95,100,1.99,overcast clouds
1,Alofi,NU,-19.06,-169.92,75.2,94,0,5.82,clear sky
2,Mataura,NZ,-46.19,168.86,48.99,93,87,0.67,overcast clouds
3,Ulladulla,AU,-35.35,150.47,57.2,47,90,18.34,overcast clouds
4,Wahpeton,US,46.27,-96.61,69.8,88,1,5.82,clear sky
5,Punta Arenas,CL,-53.15,-70.92,42.8,75,75,17.22,broken clouds
6,Hilo,US,19.73,-155.09,75.2,88,90,2.68,overcast clouds
7,Hualmay,PE,-11.1,-77.61,60.1,81,100,5.41,overcast clouds
8,Albany,US,42.6,-73.97,62.01,73,0,2.77,clear sky
9,Laureles,US,26.11,-97.49,82.99,78,1,8.05,clear sky
10,Tessalit,ML,20.2,1.01,97.7,12,0,11.36,clear sky
11,Myanaung,MM,18.28,95.32,82.17,81,92,7.05,overcast clouds
12,Tasiilaq,GL,65.61,-37.64,39.2,93,0,3.65,clear sky
13,Sesheke,ZM,-17.48,24.3,62.6,55,0,3.36,clear sky
14,Yellowknife,CA,62.46,-114.35,46.4,87,5,8.05,clear sky
15,Nome,US,64.5,-165.41,50.0,93,1,3.36,clear sky
16,Vaini,TO,-21.2,-175.2,75.2,94,75,5.82,broken clouds
17,Narsaq,GL,60.92,-46.05,44.6,70,0,3.36,clear sky
18,Ushuaia,AR,-54.8,-68.3,41.0,80,75,6.15,broken clouds
19,Chokurdakh,RU,70.63,147.92,42.51,66,100,5.46,overcast clouds
20,Nikolskoye,RU,59.7,30.79,73.99,53,0,4.47,clear sky
21,Carauari,BR,-4.88,-66.9,77.52,62,34,0.98,scattered clouds
22,Mount Isa,AU,-20.73,139.5,78.8,11,3,10.29,clear sky
23,Port Alfred,ZA,-33.59,26.89,62.04,65,9,6.73,clear sky
24,Babu,CN,24.42,111.52,92.03,54,37,0.92,scattered clouds
25,Jamestown,US,42.1,-79.24,57.2,87,1,3.87,clear sky
26,Barraute,CA,48.43,-77.63,55.4,100,90,2.24,overcast clouds
27,East London,ZA,-33.02,27.91,66.2,48,3,9.17,clear sky
28,Whitianga,NZ,-36.83,175.7,55.0,93,5,5.01,clear sky
29,Frutal,BR,-20.02,-48.94,60.6,67,10,8.43,clear sky
30,Batagay-Alyta,RU,67.8,130.41,47.75,52,95,8.52,overcast clouds
31,Port Blair,IN,11.67,92.75,85.98,69,90,12.75,overcast clouds
32,Chuchkovo,RU,54.27,41.45,63.81,55,0,5.99,clear sky
33,San Andres,CO,12.58,-81.7,78.8,88,90,2.24,overcast clouds
34,Qianan,CN,44.99,124.06,76.42,32,0,3.33,clear sky
35,Praia Da Vitoria,PT,38.73,-27.07,66.2,100,90,12.17,light intensity drizzle
36,Puerto Ayora,EC,-0.74,-90.35,66.0,88,50,5.01,scattered clouds
37,Jizan,SA,17.33,42.67,96.8,63,20,4.7,few clouds
38,Rikitea,PF,-23.12,-134.97,65.98,75,100,23.29,overcast clouds
39,Dingle,PH,11.0,122.67,85.32,78,98,6.98,light rain
40,Castro,BR,-24.79,-50.01,44.74,96,100,6.24,light rain
41,Esperance,AU,-33.87,121.9,55.4,82,75,12.75,broken clouds
42,Hithadhoo,MV,-0.6,73.08,83.53,76,46,11.88,scattered clouds
43,Busselton,AU,-33.65,115.33,64.0,44,100,2.17,overcast clouds
44,Bredasdorp,ZA,-34.53,20.04,59.0,87,45,3.36,scattered clouds
45,Lagoa,PT,39.05,-27.98,68.56,69,93,9.75,overcast clouds
46,Faya,SA,18.39,42.45,84.2,15,54,6.93,broken clouds
47,Dikson,RU,73.51,80.55,48.02,69,0,19.86,clear sky
48,Chapais,CA,49.78,-74.85,50.0,100,90,1.7,fog
49,Atuona,PF,-9.8,-139.03,79.12,77,6,19.93,clear sky
50,Khatanga,RU,71.97,102.5,58.84,43,0,16.73,clear sky
51,Victoria,HK,22.29,114.16,89.01,70,100,8.99,overcast clouds
52,Cape Town,ZA,-33.93,18.42,64.99,93,0,1.12,clear sky
53,Talnakh,RU,69.49,88.4,71.6,40,12,11.18,few clouds
54,Monrovia,LR,6.3,-10.8,75.2,94,75,10.0,broken clouds
55,Kariba,ZW,-16.52,28.8,74.64,53,0,9.93,clear sky
56,Portland,US,45.52,-122.68,70.0,77,90,4.7,light rain
57,Mehamn,NO,71.04,27.85,51.8,76,51,5.82,broken clouds
58,Aljezur,PT,37.32,-8.8,73.0,81,99,0.67,overcast clouds
59,Guerrero Negro,MX,27.98,-114.06,76.44,69,100,5.73,overcast clouds
60,Mulki,IN,13.1,74.8,82.4,88,75,9.17,mist
61,Kaitangata,NZ,-46.28,169.85,46.99,82,97,1.99,overcast clouds
62,Kapaa,US,22.08,-159.32,80.6,69,75,12.75,broken clouds
63,San Patricio,MX,19.22,-104.7,76.39,85,99,3.02,overcast clouds
64,Saint Anthony,US,45.02,-93.22,71.6,77,1,5.82,clear sky
65,Svetlogorsk,BY,52.63,29.73,64.9,83,97,6.67,light rain
66,Mahebourg,MU,-20.41,57.7,77.0,53,75,12.75,broken clouds
67,Barrow,US,71.29,-156.79,42.8,93,75,6.93,broken clouds
68,Saint-Philippe,RE,-21.36,55.77,78.8,57,36,18.34,scattered clouds
69,Cidreira,BR,-30.18,-50.21,45.21,70,10,9.28,clear sky
70,Hermanus,ZA,-34.42,19.23,59.0,80,9,4.0,clear sky
71,Goderich,CA,43.75,-81.72,70.0,76,95,12.62,overcast clouds
72,Avarua,CK,-21.21,-159.78,75.2,88,0,18.34,clear sky
73,Lebu,CL,-37.62,-73.65,47.86,81,0,14.43,clear sky
74,Klaksvik,FO,62.23,-6.59,57.2,87,75,12.75,broken clouds
75,Arraial Do Cabo,BR,-22.97,-42.03,67.44,85,100,20.92,overcast clouds
76,Oktyabrskiy,RU,54.48,53.47,56.17,85,100,9.33,overcast clouds
77,Kruisfontein,ZA,-34.0,24.73,64.0,63,0,1.99,clear sky
78,San Quintin,MX,30.48,-115.95,74.26,77,3,4.63,clear sky
79,Flin Flon,CA,54.77,-101.86,57.72,67,40,5.91,scattered clouds
80,Soyo,AO,-6.13,12.37,77.0,78,75,3.36,broken clouds
81,Teguise,ES,29.06,-13.56,73.4,83,20,11.41,few clouds
82,Ostersund,SE,63.18,14.64,62.6,77,4,11.41,clear sky
83,Dunedin,NZ,-45.87,170.5,48.99,90,100,1.01,overcast clouds
84,Butaritari,KI,3.07,172.79,82.72,70,72,10.2,broken clouds
85,Aracati,BR,-4.56,-37.77,71.92,87,35,6.51,scattered clouds
86,Lesnyye Polyany,RU,55.97,37.87,68.0,45,0,2.24,clear sky
87,Deputatskiy,RU,69.3,139.9,37.62,90,99,5.01,overcast clouds
88,Alto Longa,BR,-5.25,-42.21,72.55,81,19,3.13,few clouds
89,Samarai,PG,-10.62,150.67,76.75,80,0,10.13,clear sky
90,Torbay,CA,47.67,-52.73,59.0,87,5,20.8,clear sky
91,Bethel,US,41.37,-73.41,60.01,93,1,2.89,clear sky
92,Rawson,AR,-43.3,-65.1,46.56,56,0,5.57,clear sky
93,Ponta Do Sol,PT,32.67,-17.1,73.4,83,75,9.17,broken clouds
94,Clyde River,CA,70.47,-68.59,42.53,91,92,7.74,overcast clouds
95,Hondo,JP,32.45,130.2,89.6,52,75,14.99,shower rain
96,Lazaro Cardenas,MX,17.96,-102.2,78.51,87,94,4.52,moderate rain
97,Coihaique,CL,-45.58,-72.07,37.4,93,15,8.05,few clouds
98,Tiarei,PF,-17.53,-149.33,75.2,83,75,6.93,shower rain
99,Bengkulu,ID,-3.8,102.27,86.0,66,12,6.91,few clouds
100,Buala,SB,-8.14,159.59,82.81,71,44,2.26,scattered clouds
101,Katsuura,JP,35.13,140.3,91.99,66,20,18.34,few clouds
102,Namwala,ZM,-15.75,26.44,76.15,45,0,9.55,clear sky
103,Dubrovka,RU,53.69,33.51,57.2,76,75,4.47,broken clouds
104,Hazleton,US,40.96,-75.97,62.6,77,1,3.11,clear sky
105,Komsomolskiy,UZ,40.43,71.72,86.0,30,0,6.93,clear sky
106,Mar Del Plata,AR,-38.0,-57.56,48.99,74,0,6.93,clear sky
107,Hobart,AU,-42.88,147.33,44.6,70,40,4.7,scattered clouds
108,Soloneshnoye,RU,51.65,84.32,76.33,28,98,13.33,overcast clouds
109,Talcahuano,CL,-36.72,-73.12,48.2,87,0,9.17,clear sky
110,Carutapera,BR,-1.2,-46.02,75.43,90,100,5.3,overcast clouds
111,Asau,RO,46.43,26.4,79.0,62,12,1.5,few clouds
112,Bluff,NZ,-46.6,168.33,48.0,93,84,4.45,broken clouds
113,Sumenep,ID,-7.02,113.87,85.19,59,0,15.05,clear sky
114,Seoul,KR,37.57,126.98,86.0,74,90,2.17,overcast clouds
115,Kavieng,PG,-2.57,150.8,83.64,72,71,7.29,broken clouds
116,Itoman,JP,26.12,127.67,91.4,70,20,14.99,shower rain
117,Sungaipenuh,ID,-2.08,101.38,76.01,82,65,1.21,moderate rain
118,Kuytun,RU,54.34,101.5,70.25,52,100,7.65,overcast clouds
119,Broken Hill,AU,-31.95,141.43,59.0,41,75,27.51,broken clouds
120,Chuy,UY,-33.7,-53.46,36.45,81,0,9.24,clear sky
121,Kahului,US,20.89,-156.47,80.6,65,20,16.11,few clouds
122,Grand-Santi,GF,4.25,-54.38,69.8,96,52,2.26,broken clouds
123,Haines Junction,CA,60.75,-137.51,51.12,81,100,3.13,overcast clouds
124,Severo-Kurilsk,RU,50.68,156.12,52.66,81,15,15.99,few clouds
125,Horsham,GB,51.06,-0.33,68.0,72,75,18.34,light rain
126,Eltham,NZ,-39.43,174.3,52.0,88,16,7.0,light rain
127,Moroni,KM,-11.7,43.26,82.4,58,40,9.17,scattered clouds
128,Sitka,US,57.05,-135.33,62.6,63,20,6.93,few clouds
129,Puerto Ayacucho,VE,5.66,-67.62,74.44,94,100,7.67,moderate rain
130,Longyearbyen,SJ,78.22,15.64,43.83,68,49,4.38,scattered clouds
