City_ID,City,country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cabo San Lucas,MX,77.0,overcast clouds,22.89,-109.91,Hotel Tesoro Los Cabos
1,Alofi,NU,75.2,clear sky,-19.06,-169.92,Taloa Heights
6,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
9,Laureles,US,82.99,clear sky,26.11,-97.49,Los Fresnos Inn
11,Myanaung,MM,82.17,overcast clouds,18.28,95.32,Taung Hlay Khar
16,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
20,Nikolskoye,RU,73.99,clear sky,59.7,30.79,Tourist House - Sablino
21,Carauari,BR,77.52,scattered clouds,-4.88,-66.9,Pousada Lobo
22,Mount Isa,AU,78.8,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
31,Port Blair,IN,85.98,overcast clouds,11.67,92.75,Fortune Resort Bay Island
33,San Andres,CO,78.8,overcast clouds,12.58,-81.7,Hotel Arena Blanca
34,Qianan,CN,76.42,clear sky,44.99,124.06,Qian'an Hotel
39,Dingle,PH,85.32,light rain,11.0,122.67,Camp Pasica
42,Hithadhoo,MV,83.53,scattered clouds,-0.6,73.08,Scoop Guest House
46,Faya,SA,84.2,broken clouds,18.39,42.45,مقبرة ال مجمل
49,Atuona,PF,79.12,clear sky,-9.8,-139.03,Villa Enata
51,Victoria,HK,89.01,overcast clouds,22.29,114.16,Mini Hotel Central
53,Talnakh,RU,71.6,few clouds,69.49,88.4,Talnakh Hotel
54,Monrovia,LR,75.2,broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
55,Kariba,ZW,74.64,clear sky,-16.52,28.8,Caribbea Bay Hotel
56,Portland,US,70.0,light rain,45.52,-122.68,Portland Marriott City Center
58,Aljezur,PT,73.0,overcast clouds,37.32,-8.8,Amazigh Hostel
59,Guerrero Negro,MX,76.44,overcast clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
60,Mulki,IN,82.4,mist,13.1,74.8,Sri Nivas
62,Kapaa,US,80.6,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
63,San Patricio,MX,76.39,overcast clouds,19.22,-104.7,Hotel Cabo Blanco
64,Saint Anthony,US,71.6,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
66,Mahebourg,MU,77.0,broken clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
68,Saint-Philippe,RE,78.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
71,Goderich,CA,70.0,overcast clouds,43.75,-81.72,Harmony Inn
72,Avarua,CK,75.2,clear sky,-21.21,-159.78,Paradise Inn
78,San Quintin,MX,74.26,clear sky,30.48,-115.95,Old Mill Hotel
80,Soyo,AO,77.0,broken clouds,-6.13,12.37,Hotel Mpampa
81,Teguise,ES,73.4,few clouds,29.06,-13.56,B&B La Casona de Nazaret
84,Butaritari,KI,82.72,broken clouds,3.07,172.79,Isles Sunset Lodge
85,Aracati,BR,71.92,scattered clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
88,Alto Longa,BR,72.55,few clouds,-5.25,-42.21,pousada E Restaurante Longá
89,Samarai,PG,76.75,clear sky,-10.62,150.67,Nuli Sapi
93,Ponta Do Sol,PT,73.4,broken clouds,32.67,-17.1,Hotel do Campo
95,Hondo,JP,89.6,shower rain,32.45,130.2,ホテル河丁
96,Lazaro Cardenas,MX,78.51,moderate rain,17.96,-102.2,Collection O Hotel Quinta Antigua
98,Tiarei,PF,75.2,shower rain,-17.53,-149.33,Le Rocher de Tahiti
99,Bengkulu,ID,86.0,few clouds,-3.8,102.27,Grage Hotel Bengkulu
100,Buala,SB,82.81,scattered clouds,-8.14,159.59,Maringe Lagoon Lodge
102,Namwala,ZM,76.15,clear sky,-15.75,26.44,Corner Point Lodge
105,Komsomolskiy,UZ,86.0,clear sky,40.43,71.72,Ikathouse
108,Soloneshnoye,RU,76.33,overcast clouds,51.65,84.32,"Lesnaya Skazka, Baza Otdykha"
110,Carutapera,BR,75.43,overcast clouds,-1.2,-46.02,Lidera
111,Asau,RO,79.0,few clouds,46.43,26.4,Casa Mika Ciobanus
113,Sumenep,ID,85.19,clear sky,-7.02,113.87,OYO 3271 Homestay Pandian
114,Seoul,KR,86.0,overcast clouds,37.57,126.98,LOTTE HOTEL SEOUL
115,Kavieng,PG,83.64,broken clouds,-2.57,150.8,Nusa Island Retreat
117,Sungaipenuh,ID,76.01,moderate rain,-2.08,101.38,Hotel Jaya Wisata 2
118,Kuytun,RU,70.25,overcast clouds,54.34,101.5,Gostinitsa Tsentral'naya
121,Kahului,US,80.6,few clouds,20.89,-156.47,Maui Seaside Hotel
127,Moroni,KM,82.4,scattered clouds,-11.7,43.26,Hotel les Arcades
129,Puerto Ayacucho,VE,74.44,moderate rain,5.66,-67.62,Posada Turistica Manapiare
132,Bubaque,GW,77.32,heavy intensity rain,11.28,-15.83,Casa Dora
133,Gizo,SB,83.59,few clouds,-8.1,156.84,Imagination Island
137,Khor,RU,70.39,clear sky,47.89,134.95,Gostinitsa Deksi
138,Piacabucu,BR,73.69,light rain,-10.41,-36.43,Piaçabuçu News
148,Sao Filipe,CV,76.21,overcast clouds,14.9,-24.5,Tortuga B&B
152,Nalut,LY,87.76,clear sky,30.33,10.85,
153,Svetlaya,RU,71.94,clear sky,46.54,138.33,
155,Padang,ID,85.19,moderate rain,-0.95,100.35,Mercure Padang
156,Chirongui,YT,82.4,scattered clouds,-12.93,45.15,La Villa Mahatsara
158,El Tigre,VE,74.75,scattered clouds,8.89,-64.25,Hotel Santa Cruz
159,Mishan,CN,71.67,clear sky,45.55,131.88,Mishan Hotel
161,Altotting,DE,80.01,clear sky,48.23,12.68,Altstadthotel Schex
162,Yerbogachen,RU,70.41,light rain,61.28,108.01,
164,Kavaratti,IN,86.0,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
167,Gigmoto,PH,86.54,overcast clouds,13.78,124.39,Cj's Travellers Inn
168,Kirakira,SB,80.87,few clouds,-10.45,161.92,SanBiz Lodge
171,Rosarito,MX,73.0,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
174,Lorengau,PG,83.61,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
177,Azle,US,78.8,clear sky,32.9,-97.55,The Orchard Event Venue & Retreat - Wedding Venue
180,Mareeba,AU,78.8,clear sky,-17.0,145.43,Trinity Plains Tourist Park
182,Latung,PH,84.92,clear sky,5.5,120.88,
183,Pasighat,IN,85.91,light rain,28.07,95.33,Siang Guest House
184,Cape Canaveral,US,77.0,scattered clouds,28.41,-80.6,Residence Inn by Marriott Cape Canaveral Cocoa Beach
188,Harper,LR,75.24,light rain,4.38,-7.72,Screensaver
196,Birao,CF,83.53,broken clouds,10.28,22.79,
198,Bambous Virieux,MU,78.01,broken clouds,-20.34,57.76,Casa Tia Villa
200,Aksaray,TR,73.4,scattered clouds,38.37,34.03,Kuzucular Park Hotel
203,Akyab,MM,82.49,light rain,20.15,92.9,Hotel Memory
206,Coahuayana,MX,76.57,few clouds,18.73,-103.68,Hotel Los Arcos
208,Soledar,UA,77.34,overcast clouds,48.68,38.09,Soledar
209,Bolobo,CD,80.56,overcast clouds,-2.17,16.23,
211,Cap Malheureux,MU,78.01,scattered clouds,-19.98,57.61,Pereybere Hotel & Spa
214,Atambua,ID,81.07,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
216,Tura,IN,81.79,light rain,25.52,90.22,Hotel RIKMAN Continental
226,Nageshwari,BD,84.92,light rain,25.94,89.71,Joogle Studiam
232,Margate,GB,70.0,clear sky,51.38,1.39,Premier Inn Margate hotel
235,Rennes,FR,70.0,overcast clouds,48.17,-1.67,Appart'City Rennes Saint-Grégoire - Appart Hôtel
236,Malokaterynivka,UA,82.0,clear sky,47.65,35.25,Душевный отдых
